strategy,horizon_years,n_paths,median_cagr,p10_cagr,prob_beat_1x,prob_dd_gt_90,median_max_drawdown,p10_max_drawdown,median_max_recovery_years,p90_max_recovery_years
1x,5,10000,0.10023380057728948,-0.014257459475916601,0.0,0.0,-0.2910562374263176,-0.46432478597747,1.7162698412698412,3.8055555555555554
1x,10,10000,0.09887930365305386,0.015945213403453628,0.0,0.0,-0.3682144505754921,-0.533975223995434,2.9007936507936507,6.301587301587301
1x,20,10000,0.09869558429024472,0.04141604631026317,0.0,0.0,-0.43967535987180284,-0.5979002109283994,4.563492063492063,9.746428571428572
1x,30,10000,0.09802019122062267,0.05157517374902008,0.0,0.0002,-0.4789007165779225,-0.6294389755229022,5.783730158730158,11.853174603174603
1x,40,10000,0.09756127424818573,0.05781252278373026,0.0,0.0004,-0.5063136126162967,-0.654254357859008,6.7896825396825395,13.396825396825397
1x,50,10000,0.09786411886535418,0.06254326533359271,0.0,0.0004,-0.5272373017485822,-0.6701736920120717,7.575396825396825,14.761904761904763
1.5x,5,10000,0.11256182940999981,-0.05980458316298848,0.6025,0.0004,-0.42488023671209924,-0.641802585562446,1.9801587301587302,4.194444444444445
1.5x,10,10000,0.11064286893972675,-0.015814011729421446,0.6265,0.0022,-0.525620601458052,-0.7249658471650968,3.4761904761904763,7.599206349206349
1.5x,20,10000,0.1096432523780424,0.022800094787416656,0.6773,0.0123,-0.6190198651782467,-0.7912994114106019,5.803571428571429,12.567857142857145
1.5x,30,10000,0.10856170424053624,0.03786752031044913,0.7077,0.0225,-0.6678569148014115,-0.825026672041369,7.595238095238095,15.861507936507937
1.5x,40,10000,0.10776324928038739,0.04703638841255571,0.7361,0.0328,-0.6999752889652323,-0.8461687458820752,9.16468253968254,18.485317460317464
1.5x,50,10000,0.10836270818152771,0.05455948412936544,0.7582,0.0432,-0.7239454177450075,-0.8590790824786385,10.317460317460318,20.83373015873016
2x,5,10000,0.1271647933808665,-0.10341964655126008,0.6078,0.0078,-0.5361640918175707,-0.7638829408856339,2.119047619047619,4.365079365079365
2x,10,10000,0.12367583881148769,-0.04618232978204481,0.635,0.0351,-0.6499031810825907,-0.8424212731094859,3.7817460317460316,8.25
2x,20,10000,0.12218638542025739,0.004777756222843248,0.6851,0.0977,-0.7475598729016284,-0.8987214301931373,6.569444444444445,14.23015873015873
2x,30,10000,0.12091075882294655,0.02487429107157595,0.717,0.1574,-0.79678666339618,-0.922522260021184,8.765873015873016,18.667063492063495
2x,40,10000,0.11976618173161091,0.03749752967478794,0.748,0.2167,-0.8249263533770343,-0.9371600807261722,10.662698412698413,22.1984126984127
2x,50,10000,0.12032093588588744,0.047384593858739076,0.7698,0.2679,-0.846171806228667,-0.9466988502989603,12.15079365079365,25.44166666666667
2.5x,5,10000,0.13350056718895198,-0.15321962413199716,0.5882,0.0435,-0.6315302570307091,-0.8501177706103181,2.25,4.484126984126984
2.5x,10,10000,0.12927534207116842,-0.08455697635757181,0.6084,0.13,-0.7486234348076825,-0.9154893288484394,4.103174603174603,8.698412698412698
2.5x,20,10000,0.12642385084838348,-0.02136927497065284,0.6456,0.2866,-0.839901080244873,-0.9555949455832341,7.325396825396825,15.627380952380953
2.5x,30,10000,0.12505560978330255,0.003964638918074867,0.6725,0.4206,-0.8830217735282472,-0.9702087367429595,10.0,21.460714285714285
2.5x,40,10000,0.12348504470572441,0.01959964147037614,0.6943,0.5282,-0.9054388405477594,-0.9779372009771844,12.287698412698413,25.877380952380953
2.5x,50,10000,0.12411639799527585,0.03167913265346043,0.7144,0.6134,-0.9220552249063274,-0.9830369668808275,14.251984126984127,29.977380952380955
3x,5,10000,0.13207100941861816,-0.20918964072034602,0.5641,0.1151,-0.7122061455968273,-0.9087683715129291,2.380952380952381,4.587301587301587
3x,10,10000,0.1263224467628532,-0.12934164912025725,0.5726,0.2725,-0.8247424687431517,-0.9579161926637998,4.408730158730159,8.976190476190476
3x,20,10000,0.12224487495422498,-0.055286184950344375,0.5918,0.515,-0.9038943271235051,-0.9824879438229119,8.049603174603174,16.829761904761906
3x,30,10000,0.12022907961280382,-0.024579013997467713,0.607,0.6818,-0.9381247209307857,-0.9901418515817227,11.234126984126984,23.7265873015873
3x,40,10000,0.11828482704229537,-0.006321491146279153,0.6168,0.7924,-0.9539229299544849,-0.9935624827816462,14.113095238095237,29.857142857142858
3x,50,10000,0.119104320301327,0.007942626133161879,0.6318,0.8657,-0.964316811260352,-0.9956663429847714,16.563492063492063,34.95476190476191
3x_200SMA_cash,5,10000,0.13999849172930445,-0.08352933264182767,0.6489,0.0019,-0.519885118819736,-0.7083339861846555,2.3154761904761907,4.345238095238095
3x_200SMA_cash,10,10000,0.14694273894056276,-0.02473221761603606,0.7017,0.0117,-0.6236538523847115,-0.7946242976288158,3.9781746031746033,7.996031746031746
3x_200SMA_cash,20,10000,0.15214092462387696,0.02490337346841667,0.7826,0.0422,-0.7119330864784692,-0.8599710194965188,6.496031746031746,13.317460317460318
3x_200SMA_cash,30,10000,0.15334178529686682,0.047277048180926644,0.8286,0.0777,-0.7580865036054749,-0.8881688933256005,8.422619047619047,16.913492063492065
3x_200SMA_cash,40,10000,0.15265448043982877,0.06006400086755373,0.8588,0.1115,-0.7860712926085643,-0.9043309392713946,9.996031746031745,19.830158730158733
3x_200SMA_cash,50,10000,0.15394066916280502,0.07001226027061887,0.8848,0.1442,-0.8047516425432069,-0.9158208589267981,11.206349206349206,22.028174603174605
S9_fixed,5,10000,0.15277529629592723,-0.04199370590539341,0.7234,0.0,-0.43006563782090457,-0.5742481483833837,2.111111111111111,4.126984126984127
S9_fixed,10,10000,0.15607445432382816,0.014496585887732815,0.8026,0.0,-0.5060689785137706,-0.6595304590794273,3.5,7.015873015873016
S9_fixed,20,10000,0.15964634215460372,0.05574968636309486,0.8949,0.0014,-0.5783943912492093,-0.7296607685717432,5.384920634920635,10.889285714285716
S9_fixed,30,10000,0.15959256957073242,0.07533450669104957,0.9387,0.0036,-0.6214338408934664,-0.7605272435299815,6.75,13.313492063492063
S9_fixed,40,10000,0.15929287626662392,0.084789483340157,0.9623,0.0057,-0.6492568517567243,-0.7832233479674416,7.890873015873016,15.206349206349206
S9_fixed,50,10000,0.15973585026407133,0.09327310390366979,0.9757,0.0075,-0.667862787933114,-0.7967090355621053,8.746031746031745,16.54404761904762
S9_modal_sma225_bull0.40_bear0.00,5,10000,0.14188916151467768,-0.045836241443089176,0.6849,0.0,-0.4332296836721043,-0.5814361424699355,2.2142857142857144,4.186507936507937
S9_modal_sma225_bull0.40_bear0.00,10,10000,0.1497333966426636,0.007210748679528122,0.7594,0.0,-0.5139986640145959,-0.6675631961606734,3.6626984126984126,7.2063492063492065
S9_modal_sma225_bull0.40_bear0.00,20,10000,0.15332604163990715,0.049187680309019925,0.8458,0.0017,-0.58919709472926,-0.738950838892816,5.6646825396825395,11.392857142857142
S9_modal_sma225_bull0.40_bear0.00,30,10000,0.1534391740127684,0.0672957687697517,0.8902,0.004,-0.6331934388671905,-0.7733742422496224,7.182539682539683,14.027777777777779
S9_modal_sma225_bull0.40_bear0.00,40,10000,0.15379980848093044,0.07867257429679608,0.9218,0.008,-0.660876865612017,-0.7939817912103613,8.353174603174603,16.056746031746037
S9_modal_sma225_bull0.40_bear0.00,50,10000,0.15462729640188067,0.08596373807686761,0.9456,0.011,-0.6803244282101149,-0.8081986834007046,9.234126984126984,17.585714285714293
