regime,strategy,horizon_years,paths,median_cagr,p10_cagr,p01_cagr,prob_beat_1x,prob_dd_gt_50,prob_dd_gt_70,prob_dd_gt_90,median_max_dd,p10_max_dd,prob_terminal_below_start,prob_terminal_below_0p1
baseline_history,MKT_1x,10,2500,0.10124384211607462,0.019015447082900216,-0.041996834670321254,0.0,0.1452,0.0076,0.0,-0.37113292010163446,-0.5320647511731876,0.0572,0.0
baseline_history,MKT_1x,20,2500,0.09744595983472393,0.0386169662193387,-0.0058855124125181575,0.0,0.2956,0.0236,0.0,-0.43704182319235996,-0.6033089568273713,0.0152,0.0
baseline_history,MKT_1x,40,2500,0.09778530754321191,0.05662446534787251,0.021071303314149,0.0,0.5252,0.0612,0.0,-0.5073955425140988,-0.6636966071302971,0.0004,0.0
baseline_history,LETF_1p5_BH,10,2500,0.1128958001025181,-0.010085117139852927,-0.09939550224490323,0.6368,0.584,0.1264,0.0032,-0.5291380174152747,-0.7211697421139288,0.1184,0.0
baseline_history,LETF_1p5_BH,20,2500,0.10814285632286913,0.01856826550892026,-0.04975676831003916,0.6656,0.8276,0.2788,0.0136,-0.6174439564674783,-0.801786078164817,0.0584,0.0
baseline_history,LETF_1p5_BH,40,2500,0.10755175147125828,0.04450322165546827,-0.008304630743546123,0.712,0.9748,0.5028,0.0408,-0.7006500735647937,-0.8555382432800421,0.0156,0.0
baseline_history,LETF_2x_BH,10,2500,0.1271135314701266,-0.03810582279808082,-0.15580070858936138,0.644,0.8372,0.3876,0.0376,-0.6529809860650759,-0.8389969681665238,0.1704,0.0028
baseline_history,LETF_2x_BH,20,2500,0.12013052960885706,0.00031719921859274774,-0.09154423858312355,0.6764,0.9692,0.6452,0.108,-0.7456642560102951,-0.9028502764136564,0.1,0.0052
baseline_history,LETF_2x_BH,40,2500,0.11981286318200224,0.032694934857865746,-0.03775777656590446,0.7308,0.9996,0.8844,0.2408,-0.8253224675351525,-0.9429861076437716,0.0364,0.0036
baseline_history,LETF_3x_BH,10,2500,0.12829217191805098,-0.11982217977922217,-0.2793476375314724,0.5776,0.9864,0.792,0.272,-0.8268524098240926,-0.9568471585678763,0.2648,0.0392
baseline_history,LETF_3x_BH,20,2500,0.11782614910770994,-0.05951189056887925,-0.19195809636267833,0.5756,1.0,0.952,0.5152,-0.9037829572585925,-0.9838381773809325,0.1948,0.0508
baseline_history,LETF_3x_BH,40,2500,0.1191380855358315,-0.013481313997010622,-0.11832458947275541,0.6092,1.0,0.9996,0.7928,-0.9542338229920977,-0.9949355838043985,0.122,0.0444
baseline_history,LETF_S9_35_12,10,2500,0.16041817602390396,0.017338317626352653,-0.08821514557672035,0.8012,0.53,0.0556,0.0,-0.506342384749322,-0.6599928522712412,0.0716,0.0
baseline_history,LETF_S9_35_12,20,2500,0.15835148665253673,0.05351303328531656,-0.011928628379759767,0.8888,0.8208,0.1564,0.0012,-0.5838344983324765,-0.734569429630614,0.0184,0.0
baseline_history,LETF_S9_35_12,40,2500,0.15878493904002478,0.08362179280277508,0.02478090104714079,0.9592,0.966,0.3128,0.0068,-0.6485262798661402,-0.7885755742492047,0.0032,0.0
baseline_history,LETF_S9_35_0,10,2500,0.1537631366798683,0.020196527527687125,-0.07587442556755651,0.7708,0.4236,0.0384,0.0,-0.48064789045127015,-0.633423245204717,0.064,0.0
baseline_history,LETF_S9_35_0,20,2500,0.1543671084152065,0.05211105194018399,-0.007304646436976022,0.8564,0.7204,0.1044,0.0008,-0.5569764559648125,-0.704701496603009,0.0156,0.0
baseline_history,LETF_S9_35_0,40,2500,0.1529966094370091,0.08110233746394266,0.026650196049197907,0.938,0.9216,0.228,0.0016,-0.6217208370830208,-0.7610088015935039,0.0016,0.0
baseline_history,FUT_VOL25,10,2500,0.15539191411817233,0.016991784991202862,-0.08620313222246404,0.8176,0.588,0.1016,0.0004,-0.5270802281749636,-0.7013670358285821,0.0788,0.0
baseline_history,FUT_VOL25,20,2500,0.15454885694316955,0.052338015483194014,-0.02011937606043623,0.8956,0.838,0.2376,0.006,-0.6139953350844849,-0.7781316907462557,0.0232,0.0
baseline_history,FUT_VOL25,40,2500,0.15412698666537006,0.07902272644119981,0.02133546906730167,0.9672,0.976,0.4552,0.0236,-0.6839834600715968,-0.833791353925882,0.0044,0.0
baseline_history,FUT_35_12,10,2500,0.17457247477647497,0.027547945126747655,-0.07968228513604868,0.852,0.4916,0.0432,0.0,-0.49786176500447454,-0.6503304693523698,0.06,0.0
baseline_history,FUT_35_12,20,2500,0.17216961269146747,0.06530788006689903,-0.0021847509737462373,0.934,0.782,0.1292,0.0012,-0.5721815329067802,-0.7197661756259903,0.0108,0.0
baseline_history,FUT_35_12,40,2500,0.17247481460047143,0.09571602154105462,0.03617061204274634,0.9816,0.9512,0.266,0.0052,-0.6346026060833049,-0.7746248161210639,0.002,0.0
baseline_history,FUT_35_0,10,2500,0.16473433802758486,0.028594771456927702,-0.07075430867027888,0.81,0.4,0.0336,0.0,-0.4749610912090381,-0.6261120769079046,0.0552,0.0
baseline_history,FUT_35_0,20,2500,0.16521186871742466,0.06114805034496003,-0.0010465893629057193,0.8908,0.6896,0.0952,0.0008,-0.5491433084137988,-0.6945214795805905,0.0104,0.0
baseline_history,FUT_35_0,40,2500,0.16437278262599042,0.09032087719504958,0.03479126744309319,0.9628,0.9072,0.2072,0.0016,-0.6111803627632534,-0.7509097747994274,0.0008,0.0
baseline_history,FUT_40_0,10,2500,0.16877092297199647,0.023906447819111398,-0.07937891086824449,0.8104,0.506,0.0552,0.0,-0.5017573569208489,-0.6536396261795038,0.0612,0.0
baseline_history,FUT_40_0,20,2500,0.16888374484230184,0.059922306969431904,-0.004337495362764637,0.894,0.7916,0.1388,0.0016,-0.5769200555658487,-0.7244402624695779,0.0136,0.0
baseline_history,FUT_40_0,40,2500,0.16836781157296543,0.09179740703669692,0.03314606193255637,0.9624,0.954,0.2904,0.004,-0.6410661581792442,-0.7832479395408055,0.0012,0.0
baseline_history,FUT_2x_200DMA,10,2500,0.13551537819110693,0.01763964747303186,-0.06761354401825892,0.7552,0.3256,0.0244,0.0,-0.4466414691350976,-0.6047780090900555,0.0708,0.0
baseline_history,FUT_2x_200DMA,20,2500,0.13448797453727412,0.049388015644354515,-0.007107649445323736,0.8272,0.5768,0.0696,0.0,-0.5199152041211006,-0.6750673108890661,0.0144,0.0
