strategy,worst_regime_p10,median_of_regime_medians,worst_prob_dd90,worst_prob_loss
FUT_35_0,-0.07854303314546933,0.11846336142995839,0.128,0.5724
LETF_S9_35_0,-0.082272131906758,0.10825148112276839,0.1424,0.6064
FUT_2x_200DMA,-0.08739032035047842,0.11451019168098886,0.1948,0.5404
FUT_40_0,-0.0935024747050342,0.12482871223263647,0.2184,0.618
MKT_1x,-0.09980188412646165,0.07327809658119755,0.2548,0.6988
FUT_35_12,-0.11376551391135713,0.09588682558596529,0.3732,0.7552
LETF_S9_35_12,-0.11961238538030605,0.08543829122651914,0.412,0.7832
FUT_VOL25,-0.15305846222734548,0.07553756104952736,0.576,0.8536
LETF_1p5_BH,-0.2011861737767759,0.055586815362892894,0.81,0.8888
LETF_2x_BH,-0.29899940799076735,0.04274375277457454,0.9704,0.9508
LETF_3x_BH,-0.4958956329170521,0.005209811588085866,1.0,0.9876
