strategy,horizon_years,rolling_n,median_cagr,p10_cagr,min_cagr,median_max_dd,p10_max_dd
MKT_1x,5,1193,0.11268310009336746,-0.008464099829507665,-0.2341428971973175,-0.28271681219006795,-0.5239758688002546
MKT_1x,10,1133,0.10708015419678074,0.02683946098362471,-0.06730095156402804,-0.3421628093489293,-0.5456553593385387
MKT_1x,20,1013,0.10244542195969597,0.06855944154572566,0.01036879444054506,-0.481594824000079,-0.5456553593385391
MKT_1x,30,893,0.10678414608232178,0.09283578158933903,0.05323754681763804,-0.4815948240000798,-0.5456553593385391
LETF_1p5_BH,5,1193,0.13250640831495408,-0.05312647676258637,-0.3645465230192634,-0.4089603864721102,-0.7006954748970095
LETF_1p5_BH,10,1133,0.1230127384661297,-0.0012058067621712324,-0.14095715105538198,-0.4808381319650722,-0.7240313965422063
LETF_1p5_BH,20,1013,0.1138152514442019,0.0633801829694018,-0.018411418827928516,-0.6634055456986989,-0.7410130316463164
LETF_1p5_BH,30,893,0.12019400520532475,0.09908678161822744,0.048582221696602534,-0.6634055456986994,-0.7410130316463166
LETF_2x_BH,5,1193,0.1550357577364947,-0.09795696379613769,-0.47905025271580404,-0.5131198046026499,-0.814150259629162
LETF_2x_BH,10,1133,0.143272751885136,-0.02874193179013358,-0.21924863492451874,-0.5973285354987085,-0.8387475608060598
LETF_2x_BH,20,1013,0.12833490035212214,0.0611511125992771,-0.051278948199835916,-0.7809179222516636,-0.8769347761929414
LETF_2x_BH,30,893,0.1343191644055195,0.10364257078915809,0.042300817820442926,-0.780917922251664,-0.8769347761929416
LETF_3x_BH,5,1193,0.1790366549184208,-0.21235597094053138,-0.6741655557944319,-0.692838650043991,-0.9343330288360628
LETF_3x_BH,10,1133,0.1684720849276411,-0.10124419501110261,-0.39766543863636183,-0.7796825777223013,-0.9537271087575535
LETF_3x_BH,20,1013,0.1314051757911434,0.028959552435925316,-0.15144078429640728,-0.9231672241662945,-0.9801484902022698
LETF_3x_BH,30,893,0.14039184225924872,0.09127445276540928,-0.0031013296031933146,-0.9231672241662947,-0.9801484902022698
LETF_S9_35_12,5,1193,0.19680856281689985,-0.02086116037968115,-0.1653847747273357,-0.4031379941143438,-0.5470593376509668
LETF_S9_35_12,10,1133,0.18913647572432724,0.0574411211197106,-0.055117222483007655,-0.4869773385711429,-0.6337335620215128
LETF_S9_35_12,20,1013,0.17533018097934772,0.11517868010546332,0.07421265746931516,-0.5429928390450378,-0.7003203132612545
LETF_S9_35_12,30,893,0.18951311147443328,0.1569465437116552,0.13355966549491338,-0.6005271925892625,-0.7003203132612548
LETF_S9_35_0,5,1193,0.20982960577214138,0.006614972209083627,-0.11776237753121932,-0.33836132321909695,-0.44860051546657714
LETF_S9_35_0,10,1133,0.19851670708216096,0.08622055065251137,-0.04394877242710926,-0.3812711418821625,-0.5409739449603763
LETF_S9_35_0,20,1013,0.20606040248924384,0.1227551918546312,0.06947825881665737,-0.42825454991015954,-0.5739620887711206
LETF_S9_35_0,30,893,0.21724919909997853,0.15060599077569625,0.12351700128840393,-0.5322023158267708,-0.5739620887711209
FUT_VOL25,5,1193,0.17382581512514994,-0.07880084603180867,-0.26399660850368545,-0.46295604168672855,-0.6865244092046419
FUT_VOL25,10,1133,0.16315821422937882,-0.00047719806137278524,-0.07867667607903506,-0.5348405462714738,-0.7369983347370598
FUT_VOL25,20,1013,0.15102049045571175,0.075271899681993,0.039032763253249,-0.6865244092046423,-0.7747323420579763
FUT_VOL25,30,893,0.15849890874909,0.13007252283874488,0.11092208170712348,-0.7129287945498312,-0.7747323420579764
FUT_35_12,5,1193,0.2118563358663743,-0.012941328208091813,-0.16285866026070872,-0.39765806123683933,-0.5374607932855875
FUT_35_12,10,1133,0.2049519731266609,0.06892699199952634,-0.04691119829182944,-0.4706091747303034,-0.6300589649428598
FUT_35_12,20,1013,0.1908108604342611,0.1275607207879868,0.08633374025185359,-0.537460793285587,-0.6859894636511656
FUT_35_12,30,893,0.20448145505628723,0.17109761421136988,0.1466342354536252,-0.5957538096078746,-0.6859894636511656
FUT_35_0,5,1193,0.2236468828367928,0.012619775978137904,-0.11330517453843081,-0.33521116851894495,-0.44694239119906387
FUT_35_0,10,1133,0.21288924564090195,0.09671416245469415,-0.03762026267012197,-0.37789417212695087,-0.5386854283532805
FUT_35_0,20,1013,0.21893637388578435,0.13401880549128414,0.08002900582915595,-0.42705725942024075,-0.5603745656657807
FUT_35_0,30,893,0.23082948092691935,0.1632735856163281,0.13515148246041098,-0.519283658255518,-0.5603745656657809
FUT_40_0,5,1193,0.23259714905041484,0.009051601427425204,-0.12441239733179277,-0.3540865433810507,-0.4853847156550479
FUT_40_0,10,1133,0.2196261405691231,0.09851067031680087,-0.04619488822712281,-0.38480528865823915,-0.5861373489579298
FUT_40_0,20,1013,0.22622135601109838,0.1370982393164759,0.0794973309890128,-0.44238592699023316,-0.5870845720325877
FUT_40_0,30,893,0.237586131280769,0.16941214750353245,0.141534842066243,-0.5532441681602691,-0.5870845720325879
FUT_2x_200DMA,5,1193,0.18119312968384826,0.02508317180127917,-0.08243472050765976,-0.2765050336343434,-0.4366931174975963
FUT_2x_200DMA,10,1133,0.1759921767947994,0.09208693296709876,-0.034464471626685755,-0.3251187525499827,-0.5665087736510135
FUT_2x_200DMA,20,1013,0.18346562426470814,0.11607010315548227,0.05489359761622903,-0.32511875254998335,-0.5665087736510142
FUT_2x_200DMA,30,893,0.19073304467349117,0.13922486860132993,0.12115987895249991,-0.439284329157108,-0.5878037783581116
DIP_CONF_1p5_PROXY,5,1193,0.11754338498863648,-0.017278086456387818,-0.2531652027779915,-0.28271681219006806,-0.545655359338539
DIP_CONF_1p5_PROXY,10,1133,0.1120857462526772,0.02813436655503745,-0.06316882626025577,-0.3421628093489293,-0.5573267107427524
DIP_CONF_1p5_PROXY,20,1013,0.10788353366636949,0.07165597302555882,0.014558037082956554,-0.5189042959486398,-0.557326710742753
DIP_CONF_1p5_PROXY,30,893,0.11028661393563466,0.09640244535434439,0.056752765475058364,-0.5189042959486403,-0.5573267107427533
DIP_BLIND_2x_PROXY,5,1193,0.11721864709266461,-0.048500581889661484,-0.4553972381209457,-0.3635895442617739,-0.7434923461498444
DIP_BLIND_2x_PROXY,10,1133,0.10578419015349905,-0.007968816647459452,-0.18799016827853465,-0.45001490516242315,-0.7605932204798406
DIP_BLIND_2x_PROXY,20,1013,0.09742844212258106,0.054262699477523976,-0.047563157845706305,-0.6773550014751115,-0.7655317361859412
DIP_BLIND_2x_PROXY,30,893,0.09849948602646497,0.08296144848955711,0.01658814958680721,-0.6773550014751117,-0.7655317361859415
