experiment_id,date,portfolio_value
momentum:10,2009-01-02,9985022.466300549
momentum:10,2009-01-05,9949701.757432863
momentum:10,2009-01-06,9837987.38807181
momentum:10,2009-01-07,9860727.452865614
momentum:10,2009-01-08,9812608.352132421
momentum:10,2009-01-09,9751077.226579294
momentum:10,2009-01-12,9721377.77900047
momentum:10,2009-01-13,9644323.794068597
momentum:10,2009-01-14,9441372.731935365
momentum:10,2009-01-15,9675108.814715998
momentum:10,2009-01-16,9776236.511600943
momentum:10,2009-01-20,9466310.971318541
momentum:10,2009-01-21,9571100.638117312
momentum:10,2009-01-22,9435963.09199769
momentum:10,2009-01-23,9287439.353412405
momentum:10,2009-01-26,9297209.656672029
momentum:10,2009-01-27,9350619.540660096
momentum:10,2009-01-28,9478949.54721214
momentum:10,2009-01-29,9356853.904138925
momentum:10,2009-01-30,9229142.987363247
momentum:10,2009-02-02,9216791.682631578
momentum:10,2009-02-03,9472403.066503748
momentum:10,2009-02-04,9325018.902529797
momentum:10,2009-02-05,9377020.74036245
momentum:10,2009-02-06,9508452.112753548
momentum:10,2009-02-09,9584419.29897955
momentum:10,2009-02-10,9279226.749813752
momentum:10,2009-02-11,9320971.189310392
momentum:10,2009-02-12,9357485.266288735
momentum:10,2009-02-13,9207061.483113004
momentum:10,2009-02-17,9091725.695820982
momentum:10,2009-02-18,9137308.340038821
momentum:10,2009-02-19,9094241.636443995
momentum:10,2009-02-20,9164986.16611714
momentum:10,2009-02-23,8956079.688712582
momentum:10,2009-02-24,9117837.582892625
momentum:10,2009-02-25,9068649.79696819
momentum:10,2009-02-26,8804723.08562797
momentum:10,2009-02-27,8773047.357884627
momentum:10,2009-03-02,8651338.539639743
momentum:10,2009-03-03,8663479.449051706
momentum:10,2009-03-04,8678206.059622444
momentum:10,2009-03-05,8669487.226155927
momentum:10,2009-03-06,8687881.976646964
momentum:10,2009-03-09,8611922.794136055
momentum:10,2009-03-10,8884155.622822745
momentum:10,2009-03-11,8800484.497264614
momentum:10,2009-03-12,9050636.207267174
momentum:10,2009-03-13,9096046.513786035
momentum:10,2009-03-16,8962114.786837861
momentum:10,2009-03-17,9202618.092843022
momentum:10,2009-03-18,9147774.901160179
momentum:10,2009-03-19,9042913.188966421
momentum:10,2009-03-20,8981574.369533299
momentum:10,2009-03-23,9209953.851961598
momentum:10,2009-03-24,9077933.803037042
momentum:10,2009-03-25,9255931.601814594
