experiment_id,rebalance_date,signal_date,formation_date,model,top_n,eligible_rows,scored_rows,selected_rows,executed,nav_pre,nav_post_cost,gross_trade,turnover
momentum:10,2009-01-02,2008-12-31,2008-12-31,momentum,10,409,409,10,True,10000000.0,9985022.466300549,9985022.466300625,0.9985022466300625
momentum:10,2009-04-01,2009-03-31,2009-03-31,momentum,10,409,409,10,True,9294743.007084258,9274993.673601486,13166222.321847852,1.4165235458164722
momentum:10,2009-07-01,2009-06-30,2009-06-30,momentum,10,427,427,10,True,9039318.061074143,9022576.762139982,11160865.95610814,1.2347022065934354
momentum:10,2009-10-01,2009-09-30,2009-09-30,momentum,10,437,437,10,True,9304244.036501896,9276373.110780971,18580617.147283006,1.9970044932601247
momentum:10,2010-01-04,2009-12-31,2009-12-31,momentum,10,442,442,10,True,10595753.503799152,10573392.373981984,14907419.878111288,1.406923997690789
momentum:10,2010-04-01,2010-03-31,2010-03-31,momentum,10,450,450,10,True,11451229.287485829,11427196.125879075,16022107.737835381,1.3991605036976
momentum:10,2010-07-01,2010-06-30,2010-06-30,momentum,10,450,450,10,True,9062522.045321153,9038082.563177358,16292988.095863078,1.797842588893332
momentum:10,2010-10-01,2010-09-30,2010-09-30,momentum,10,450,450,10,True,10589453.171234136,10576610.882435173,8561525.865975557,0.8084955594527421
momentum:10,2011-01-03,2010-12-31,2010-12-31,momentum,10,453,453,10,True,11986466.084063545,11957724.432947796,19161100.743832238,1.5985612948346501
momentum:10,2011-04-01,2011-03-31,2011-03-31,momentum,10,455,455,10,True,12301555.844749562,12272058.658190068,19664791.039663617,1.59856129483465
momentum:10,2011-07-01,2011-06-30,2011-06-30,momentum,10,459,459,10,True,12508229.161042549,12478072.127898356,20104688.762794655,1.6073169514203998
momentum:10,2011-10-03,2011-09-30,2011-09-30,momentum,10,456,456,10,True,9555220.06510029,9535166.13532145,13369286.519227136,1.3991605036976
